Unnamed: 0,Project,specification,area,price
87,87,TCG Cliff Garden,2 BHK2 Baths,658-742 sq.ft. (61-69 sq.m.) Carpet Area,₹ 55.5  - 62.6 L
88,88,TCG Cliff Garden,1 BHK1 Bath,461 sq.ft. (43 sq.m.) Carpet Area,₹ 39 L
89,89,Shapoorji Joyville Sensorium,3 BHK3 Baths,787-791 sq.ft. (73-73 sq.m.) Carpet Area,"₹ 94.49  - 97.3 L₹ 12,146/sq.ft."
90,90,Kolte Patil Life Republic4.4 ★,3 BHK3 Baths,"754-1,594 sq.ft. (70-148 sq.m.) Carpet Area","₹ 75.1 L - 1.59 Cr₹ 9,947/sq.ft."
91,91,Kolte Patil Life Republic4.4 ★,2 BHK2 Baths,530-889 sq.ft. (49-83 sq.m.) Carpet Area,"₹ 59  - 98.96 L₹ 11,129/sq.ft."
92,92,Shapoorji Joyville Sensorium,3 BHK3 Baths,787-978 sq.ft. (73-91 sq.m.) Carpet Area,"₹ 97.3 L - 1.01 Cr₹ 11,338/sq.ft."
93,93,Shapoorji Joyville Sensorium,2 BHK2 Baths,536-789 sq.ft. (50-73 sq.m.) Carpet Area,"₹ 68.03  - 79.26 L₹ 10,755/sq.ft."
94,94,Krishna Amarillo,2 BHK2 Baths,636-723 sq.ft. (59-67 sq.m.) Carpet Area,₹ 60.1  - 68.32 L
95,95,Paranjape Blue Ridge4.5 ★,3 BHK3 Baths,961 sq.ft. (89 sq.m.) Carpet Area,"₹ 82 L₹ 8,532/sq.ft."
96,96,Paranjape Blue Ridge4.5 ★,2 BHK2 Baths,740 sq.ft. (69 sq.m.) Carpet Area,"₹ 68 L₹ 9,189/sq.ft."
97,97,Rohan Prathama,1 BHK,315-410 sq.ft. (29-38 sq.m.) Carpet Area,"₹ 36.61  - 47.65 L₹ 11,607/sq.ft."
98,98,Rohan Prathama,2 BHK,503-563 sq.ft. (47-52 sq.m.) Carpet Area,"₹ 59.21  - 66.14 L₹ 11,744/sq.ft."
99,99,Kolte Patil Life Republic4.4 ★,3 BHK3 Baths,754-822 sq.ft. (70-76 sq.m.) Carpet Area,"₹ 79.31  - 86.23 L₹ 10,498/sq.ft."
100,100,Kolte Patil Life Republic4.4 ★,2 BHK2 Baths,530-620 sq.ft. (49-58 sq.m.) Carpet Area,"₹ 53  - 58.95 L₹ 9,747/sq.ft."
101,101,Redshift Bloomville,2 BHK2 Baths,516 sq.ft. (48 sq.m.) Carpet Area,Price on Request
102,102,Redshift Bloomville,1 BHK1 Bath,355 sq.ft. (33 sq.m.) Carpet Area,Price on Request
103,103,Kasturi Eon Homes4.3 ★,3 BHK,823 sq.ft. (76 sq.m.) Carpet Area,"₹ 94.12 L₹ 11,424/sq.ft."
104,104,Kasturi Eon Homes4.3 ★,3 BHK,823 sq.ft. (76 sq.m.) Carpet Area,"₹ 73.23 L₹ 8,888/sq.ft."
105,105,Park Titan,3 BHK,990 sq.ft. (92 sq.m.) Carpet Area,₹ 92 L
106,106,Park Titan,2 BHK,725 sq.ft. (67 sq.m.) Carpet Area,₹ 60 L
107,107,Menlo Homes,2 BHK2 Baths,676 sq.ft. (63 sq.m.) Carpet Area,"₹ 62.48 L₹ 9,242/sq.ft."
108,108,32 Pinewood Drive,3 BHK,792 sq.ft. (74 sq.m.) Carpet Area,"₹ 75 L₹ 9,469/sq.ft."
109,109,32 Pinewood Drive,2 BHK,606 sq.ft. (56 sq.m.) Carpet Area,"₹ 54 L₹ 8,910/sq.ft."
110,110,Vilas Yashwin Sukhniwas,2 BHK2 Baths,585 sq.ft. (54 sq.m.) Carpet Area,₹ 50.58 L
111,111,Krishna Amarillo,2 BHK2 Baths,636 sq.ft. (59 sq.m.) Carpet Area,₹ 60 L
112,112,Mittal Pebbles High Mont4.1 ★,2 BHK2 Baths,569 sq.ft. (53 sq.m.) Carpet Area,"₹ 55 L₹ 9,666/sq.ft."
113,113,Shapoorji Joyville Sensorium,3 BHK3 Baths,787 sq.ft. (73 sq.m.) Carpet Area,"₹ 97.3 L₹ 12,360/sq.ft."
114,114,Shapoorji Joyville Sensorium,2 BHK2 Baths,536 sq.ft. (50 sq.m.) Carpet Area,"₹ 68.03 L₹ 12,677/sq.ft."
115,115,Park Titan,2 BHK,720 sq.ft. (67 sq.m.) Carpet Area,₹ 66 L
116,116,Paranjape Blue Ridge4.5 ★,2 BHK2 Baths,740 sq.ft. (69 sq.m.) Carpet Area,"₹ 68 L₹ 9,189/sq.ft."
117,117,Kumar Megapolis4.5 ★,2 BHK2 Baths,"1,078 sq.ft. (100 sq.m.) Super built-up Area","₹ 53 L₹ 4,916/sq.ft."
118,118,Park Titan,3 BHK,"970-1,225 sq.ft. (90-114 sq.m.) Carpet Area",₹ 92.15 L - 1.16 Cr
119,119,Park Titan,2 BHK,720-815 sq.ft. (67-76 sq.m.) Carpet Area,₹ 66.5  - 75.27 L
120,120,Rahul Aston,2 BHK2 Baths,779 sq.ft. (72 sq.m.) Carpet Area,₹ 55 L
121,121,Kasturi Eon Homes4.1 ★,3 BHK3 Baths,"823-1,282 sq.ft. (76-119 sq.m.) Carpet Area","₹ 94.12 L - 1.47 Cr₹ 11,430/sq.ft."
122,122,Rahul Aston,2 BHK2 Baths,779 sq.ft. (72 sq.m.) Carpet Area,₹ 55 L
123,123,Kolte Patil Life Republic4.4 ★,3 BHK3 Baths,"754-1,594 sq.ft. (70-148 sq.m.) Carpet Area","₹ 75.1 L - 1.59 Cr₹ 9,946/sq.ft."
124,124,Kolte Patil Life Republic4.4 ★,2 BHK2 Baths,530-889 sq.ft. (49-83 sq.m.) Carpet Area,"₹ 59.07  - 99.08 L₹ 11,140/sq.ft."
125,125,Kolte Patil Life Republic4.4 ★,1 BHK1 Bath,366-470 sq.ft. (34-44 sq.m.) Carpet Area,"₹ 37.1  - 47.51 L₹ 10,115/sq.ft."
126,126,Rama Melange Residences4.6 ★,2 BHK2 Baths,850 sq.ft. (79 sq.m.) Carpet Area,"₹ 67.01 L₹ 7,883/sq.ft."
127,127,Shapoorji Joyville,2 BHK2 Baths,508 sq.ft. (47 sq.m.) Carpet Area,"₹ 65 L₹ 12,780/sq.ft."
128,128,Godrej 24,2 BHK2 Baths,545 sq.ft. (51 sq.m.) Carpet Area,"₹ 64 L₹ 11,739/sq.ft."
129,129,Rohan Prathama,2 BHK2 Baths,700 sq.ft. (65 sq.m.) Carpet Area,"₹ 64.88 L₹ 9,268/sq.ft."
130,130,Sportsville,2 BHK2 Baths,630 sq.ft. (59 sq.m.) Carpet Area,₹ 59.15 L
131,131,Kasturi Eon Homes4.3 ★,2 BHK,721 sq.ft. (67 sq.m.) Carpet Area,"₹ 65.24 L₹ 9,039/sq.ft."
132,132,Kumar Megapolis4.5 ★,2 BHK2 Baths,"1,118 sq.ft. (104 sq.m.) Super built-up Area","₹ 65 L₹ 5,814/sq.ft."
133,133,TCG Cliff Garden,2 BHK2 Baths,658 sq.ft. (61 sq.m.) Carpet Area,₹ 55.5 L
134,134,TCG Cliff Garden,2 BHK2 Baths,658 sq.ft. (61 sq.m.) Carpet Area,₹ 52 L
